,DSI_Title,Text
0,Martian_1.docx,"Left for dead on the red planet following a scientifically anomalous but narratively necessary windstorm, botanist Mark Watney (Matt Damon, giving Cast Away-era Tom Hanks a run for his money) must hunker down for the long haul, knowing that any rescue mission is years away. Luckily, he is quite literally “the best botanist on the planet”, and after declaring that he’ll have to “science the shit” out of his Robinson Crusoe situation, he discovers that it is indeed possible to grow potatoes in his own poo.

This is just the first of many self-help survivalist discoveries that find Watney entertainingly facing up to the challenge of “not dying”. Armed only with recordings of Happy Days and his captain’s collection of old-school floor-fillers (like Guardians of the Galaxy, The Martian takes great delight in its anachronistic retro-pop stylings), our lonely starman pitches his skills against the inhospitable elements, counting the solar days (“sols”) until help arrives even as mission control fight their own battles, practical and geopolitical. 

Lifting underlying riffs from Doug Trumbull’s Silent Running and third-act visuals from Alfonso Cuarón’s Gravity, with coincidental hints of Interstellar (Damon is once again stranded on a distant planet, a world away from Jessica Chastain – what are the chances?), The Martian delivers on both intergalactic spectacle and feet-in-the-soil character drama. Like Duncan Jones’s Moon, much of the film’s running time finds its leading man basically talking to himself, with video diaries and delayed digital communications providing a handy dramatic framework for his quip-filled soliloquies. Damon makes the most of this “me time”, engaging our interest, winning our sympathy and teasing our anxieties about his perilous predicament. Meanwhile, his former crewmates wrestle with the guilt of his unexpected survival (Jessica Chastain does a very practical line in understated angst and heroic mutiny), while on Earth, Chiwetel Ejiofor, Sean Bean, Jeff Daniels, Kristen Wiig et al argue the whys and wherefores of bringing him home.

Crisply shot by Ridley regular Dariusz Wolski, who also photographed this week’s other eye-catching release, The Walk, The Martian keeps its visual palette positive, the ochre sands of Jordan’s Wadi Rum blending with vast Budapest soundstage interiors to provide a glowing backdrop for the space-suited action. With its seductive blend of hi-tech Nasa chic and Apollo 13-style DIY, the production design creates a lived-in feel that echoes the industrial environments of Alien. For all its technical liberties, the pop science convinces just enough to be both credible and intriguing – younger viewers in particular will be sent away with renewed (if slightly skewed) interests in chemistry, biology and astronomy, the latter further boosted by last week’s real-life Martian news stories, providing the kind of publicity of which PR androids can only dream.

Most important, however, is just how much fun Scott seems to be having with The Martian. While Prometheus was all but crushed by the lumbering weight of its self-consciously portentous dialogue (much ear-scraping exposition about God and interstellar “engineers”), this revels in the down-to-earth details of making a meal out of a potato when you’ve run out of ketchup, and the sheer absurdist pleasure of watching human beings outwit the universe with Sellotape and string. Whether forthcoming projects such as Alien: Paradise Lost or the proposed Blade Runner sequel will be half as entertaining remains to be seen, but for now let’s just be thankful that there is plenty of life on Mars."
1,Star_Wars_3.docx,"Document3

“Endings are hard, especially for me,” director J.J. Abrams recently said when discussing Star Wars: The Rise of Skywalker. That’s understandable. His new film is intended to serve as a conclusion to both Disney’s Star Wars sequel trilogy and the entire Skywalker saga that first began with George Lucas all the way back in 1977. Landing that speeder is akin to successfully firing on a thermal exhaust port just two-meters wide—it’s a one-in-a-million shot that requires an assist from the Force.

Star Wars is the most intensely scrutinized blockbuster franchise in the world, and both its supporters and its critics are really good at yelling. Ending it in a universally satisfying conclusion simply isn’t possible and The Rise of Skywalker reflects that reality. That raises the central question that has come to define this new era of Star Wars: What the hell do fans want?

They want the new Star Wars trilogy to capture the magic of the original series while simultaneously standing on its own as new and unique creations. They want to be emotionally invested in the characters, but only if they adhere to a strict guideline of development. They don’t want their Star Wars movies filled with politics, even though A New Hope was a fantastical response to the Vietnam War. They want these films to make them feel like they did when they were children while still appealing to adults. The checklist of expectations and desires is simply a collection of oppositional mandates. If we hyper-analyze these movies, we’ll always find something they can do better. If we allow them to exist as they are with the acceptance of imperfection, they will be easier to enjoy. Neither is a particularly simple ask.

Some choices made by Abrams and screenwriter Chris Terrio feel like unnecessary course corrections from Rian Johnson’s The Last Jedi, which drew the ire of a small but vocal contingent of viewers despite being the highest grossing film of 2017. The duality was striking; a critically praised global blockbuster that nonetheless proved so polarizing that we’re still arguing about its merits and missteps two years later.

The Last Jedi has it flaws—as all Star Wars movies do—but Johnson’s bold ambition to deconstruct the Jedi mythos and subvert our expectations while side-stepping fan theories is not one of them. By acknowledging that the Jedi Order was plagued by “hypocrisy, hubris,” Johnson’s film theoretically freed the franchise to move into new territory that didn’t rely on hero worship and institutions that the 40-year-old franchise had grown beyond. Abrams has instead instituted a “return to normalcy” that recalibrates the finale’s focus on familiar yet effective construction rather than challenging its audience. In other words, it’s Lucasfilm’s attempt to provide what the studio believes audiences are clamoring for.



The emotional highs of The Rise of Skywalker are undoubtedly fantastic as it attempts to convey that you can choose your own destiny and that there are things more powerful than blood. It is often a swashbuckling adventure film that sparks the kid inside of you as it delivers a series of big movie moments ripe for broad appeal. The dynamic between Rey (Daisy Ridley) and Kylo Ren/Ben Solo (Adam Driver) is the foundational support beam of the film, and the sequel trilogy as a whole, as it delivers the emotional stakes fans want. Both characters straddle the line between light and dark and represent both the best and the worst of the Force while exhibiting how the two can be interchangeable at times. Through them, we understand how easily power, whether wielded with noble intentions or not, can yield unintended consequences that alter who you are."
2,Blank_Check_1.docx,"Blank Check

“Blank Check” is a low-yield Disney programmer that may generate some interest among pre-teen and young adolescent auds. Theatrical B.O. likely will amount to small change, but pic may do better when deposited in video outlets.

With more than a wink and a nod in the direction of the “Home Alone” blockbusters — and a preemptive hint of the forthcoming “Richie Rich”– director Rupert Wainwright and writers Blake Snyder and Colby Carr bend over backward to contrive a fantasy-fulfillment scenario for pic’s target audience.

Eleven-year-old Preston Waters (Brian Bonsall) feels badly put-upon by his penny-pinching, aphorism-spouting father (James Rebhorn) and pushed around by his bullying older siblings (Michael Faustino, Chris Demetral). The final straw comes when Preston is invited to a classmate’s amusement-park birthday party, but lacks enough money to join other guests on the A-ticket rides. After that, Preston wishes aloud that he had his own money.

Quicker than you can say “I made my parents disappear!” Preston runs into fugitive criminal Quigley (Miguel Ferrer). Or, to be more precise, Quigley runs into Preston’s bike, with his car. Anxious not to arouse police interest, he gives the boy a half-completed check to pay for the damage, then drives off.

Preston fills in the amount of the check –$ 1 million, the exact sum Quigley has deposited in the money-laundering bank operated by a former cohort (Michael Lerner) — and cashes it.

Palming himself off as the young aide of a fictitious “Mr. Macintosh,” Preston buys a palatial home in his neighborhood, then stocks it with high-tech games.

Tyro director Wainwright made his mark as an award-winning maker of commercial spots, and his experience serves him well here: Seldom has conspicuous consumption been made to seem so exhilarating.

“Blank Check” wallows in the exuberance of excess so enthusiastically, for so long, that even naive youngsters may have trouble buying pic’s ultimate “money can’t buy happiness” message.

It takes more than an hour to get to the real pay-off — Preston’s “Home Alone”-style defense of his home against a siege by Quigley and his cohorts. Unfortunately, the sequenceis too short to live up to its build-up, and not ingenious enough.

Bonsall is believable without being particularly memorable. Rick Ducommun offers an adequate John Candy impersonation as the chauffeur hired by the young millionaire.

Ferrer, savvy enough to play it straight, makes a wonderfully menacing foil. Debbie Allen overdoes flustery hysterics as a caterer.

Although plot is set in small-town Indiana, pic was shot in central Texas. Tech credits are unremarkable."
3,Back_Future_3.docx,"If “Back to the Future” made you bored and querulous, then the tumbling inventiveness in its sequel may come as a pleasant surprise. Of course, if you were among the 92% of the world who loved the ride in Dr. Emmett Brown’s diabolical DeLorean back in 1985, then “Back to the Future Part II” (citywide) is your oyster. Well, your hamburger with onions.

If it proves anything, it’s that director Robert Zemeckis (“Who Framed Roger Rabbit”) is getting cooler and even more adept at controlled mayhem. Actually, “Future II’s” best moments are like a Tex Avery cartoon with live actors, crammed to the edges of the frame with nutsy touches.

This is not to say that it isn’t one of the year’s noisiest films, nor one of the most dizzying. It not only zooms up to the year 2015, but back again to that fateful high school dance of Marty McFly’s parents in 1955, then up for a while to 1985. And not 1985 as the characters knew it, but a sort of faux 1985, the Ghost of 1985-yet-to-come-in-the-worst-of-all-possible-worlds.

Now, you may whiz up and back and sideways with the ease of Isaac Asimov, but not this time traveler. So it is invigorating to report that screenwriter Bob Gale has had pity on the spaced-out. When he begins his backs and forths in the Chrono-Synclastic Infundibulum or whatever, he has the eminent Doc Brown (Christopher Lloyd) diagram it all out on a blackboard for us. Thus, even the dimmest among us can appreciate exactly why McFly and Doc must risk time-warp whiplash to keep their universe, and perhaps even ours, on an even keel.

It all begins with danger in the year 2015 to Marty McFly’s son, Marty Jr. (conveniently played by McFly “himself,” Michael J. Fox, surely one of the world’s oldest high school students and one of the more bearable). Scanning the future, Doc Brown knows there is big trouble if Marty Jr. goes along with the scuzzy plans of a guy named Griff, so McFly and Brown nip up to 2015 in the gull-winged DeLorean to see if they can change history, or future history. With them is McFly’s girlfriend, Jennifer, played by the talented and, in this instance, vastly wasted Elizabeth Shue. Also wasted are the talents of “Breaking In’s” Casey Siemaszko, almost unfindable here as a third thug.

“Future""-ites will already be onto the fact that Griff is the son of Biff Tannen (Thomas F. Wilson, both times), who made the life of the McFly family father, George, such a living hell. Frankly, the braying of Crispin Glover’s George McFly in the first film made some of our lives living hell too, so it came as good news that Glover appears in the sequel only in brief silent scenes taken from footage in the first film. The grandfather George McFly is played in the year 2015 by Jeffrey Weissman.

When film makers’ visions of the future spin off nearly familiar technology, the results are more fun than brainstorming wild inventions that take forever to understand."
4,Walle_1.docx,"… Hazy, dust-filtered sunlight illuminates a landscape of eerie, post-apocalyptic silence. This is a world without people, you might say without animation, though it teems with evidence of past life.

 “Wall-E” is a computer-generated cartoon vision of our own potential extinction. It’s not the only film lately to engage this somber theme. As the earth heats up, the vanishing of humanity has become something of a hot topic. Not that “Wall-E” is all gloom and doom. It is, undoubtedly, an earnest (though far from simplistic) ecological parable, but it is also a disarmingly sweet and simple love story. 

Wall-E is a dented little workhorse who, having outlasted his planned obsolescence, spends his days in the Sisyphean, mechanical labor of gathering and compacting garbage. His name is an acronym for Waste Allocation Load Lifter- Earth Class. But not everything he finds is trash to Wall-E. In the rusty metal hulk where he and the cockroach take shelter from dust storms, he keeps a carefully sorted collection of treasures, including Zippo lighters, nuts and bolts, and a Rubik’s Cube.

Wall-E’s tender regard for the material artifacts of a lost civilization is understandable. After all, he too is a product of human ingenuity. And the genius of “Wall-E” lies in its notion that creativity and self-destruction are sides of the same coin. The human species was driven off its home planet Wall-E eventually learns that we did not die out by an economy consecrated to the manufacture and consumption of ever more stuff. But some of that stuff turned out to be useful, interesting, and precious. And some of it may even possess something like a soul.

Observing Wall-E’s surroundings conglomerate filled the earth with megastores and tons of garbage. Eventually the corporation loaded its valued customers onto a space station, where they have evolved into fat, lazy leisure addicts serviced by a new generation of specialized machines. One of these, a research probe named Eve drops to Earth and wins Wall-E’s heart.

Wall-E is a boxy machine of the old school, with creaks and clanks and visible rivets, his surface pocked with dents and patches of rust. He is steadfast, but not always clever or cool. Eve, shaped like an elongated egg, is as cool as the next iPhone and whisper quiet, unless she’s excited, in which case she has a tendency to blow things up. She and Wall-E communicate in chirps and beeps that occasionally coalesce into words. Somehow their expressions of desire, irritation, indifference, devotion and anxiety, all arranged in delicate counterpoint achieve an otherworldly eloquence.

The residents of the space station, accustomed to being tended by industrious robots, have grown to resemble giant babies, with soft faces, rounded torsos and stubby, weak limbs. Consumer capitalism, anticipating every possible need and swaddling its subjects in convenience, is an infantilizing force. But as they cruise around on reclining chairs, eyes fixed on video screens, taking in calories from straws sticking out of giant cups, these overgrown space babies also look like moviegoers at a multiplex."
5,Toy_Story_1.docx,"It was only a matter of time before the Toy Story franchise started asking questions about the very nature of consciousness. 



Toy Story 4 wisely feels like less of a new chapter and more like an epilogue, an addendum for Woody that muses on the peculiarities of the symbiotic relationship between toys and humans these movies have long explored. But the film’s most challenging, bizarre, and lovable material involves a beady-eyed Frankenstein’s monster named Forky (Tony Hale) who becomes the newest addition to Bonnie’s flock after she builds him in kindergarten class. Most important, he doesn’t know why he’s alive, and reader, that’s when I leaned forward in my seat.



Sure, the fun can last forever for Woody, but that’s because he’s functionally immortal—as long as nothing ever rips his stuffing out, he can exist eternally, thanks to whatever toy magic is powering him. More than anything, the film is about him arriving at new insights about this immortality as he reflects on the creation of Forky, a plastic creature who can think and speak simply because his creator (a kindergartener) pasted him together in class.



That’s not to suggest that most of Toy Story 4 involves Woody and his pals sitting around their bedroom and debating the writings of Descartes. The plot is, as usual for these films, an extended action caper, set mostly at an amusement park that Bonnie’s family is visiting on vacation. But the adventure is spurred into motion by Forky jumping out of a car window because he knows that he’s a creature made of trash and thinks he deserves to die. At multiple points, Woody and Buzz discuss their own “inner voices” (their consciences) and how those drive them to make selfless decisions, like rescuing an existentially compromised living spork. Toy Story 4 can have all the fun it wants, and it does, but it also throws these deeper concepts around with abandon.



Woody’s mission to rescue Forky involves convincing the little fella that toyhood is a noble calling, and that the joy he brings Bonnie is enough reason to keep on living. That’s the essential concept that drove all the other Toy Story films—the powerful, nostalgic bond between a child and their most beloved possessions. But as Woody explores the amusement park and its environs, he rediscovers Bo Peep (Annie Potts), one of Andy’s old toys, who was given away years ago and was absent in Toy Story 3. She’s now leading an independent life free of her owner, along with a motley crew of new characters like the Canadian action figure Duke Caboom (a masterfully dry Keanu Reeves) and the wisecracking plush animals Ducky (Keegan-Michael Key) and Bunny (Jordan Peele).



Can toys live on their own? What separates a toy from an inanimate object? Can a toy choose its own kid to play with? Is Woody’s existence, in a happy home with a comfortable family, an unusually privileged one? And can toys themselves start to grow up, even become parents, as Woody does to Forky (in a manner of speaking)? Toy Story 4 fits these ideas into a rip-roaring, 100-minute running time, polished with the usual Pixar sheen. I’m all for the studio exploring new concepts and original characters going forward, and setting aside the endless anthologizing of its biggest hits for a good long while. But if I had to get another Toy Story, this is about as strange and beguiling an entry as I could have hoped for."
6,Back_Future_2.docx,"Back to the Future had everything, didn’t it? Nostalgia, adventure, cool cars and a weirdly aggressive hatred for the people of Libya. Truly, no other film has ever or will ever come close to recreating Back to the Future’s dopamine hit. Except, you know, that Back to the Future reboot that everybody wants.

According to a new Hollywood Reporter poll, 71% of the 2,201 people surveyed are clamouring for a Back to the Future remake. Everyone knows that reboots are how Hollywood’s most craven instincts tend to manifest themselves. So, even though a Back to the Future reboot would almost definitely be about Justin Bieber riding around on a Swegway and smoking a magical vape that takes him all the way back to a time when you were already quite old, it is what the people want, and so it will be what the people will ultimately get.

Oh, sure, Robert Zemeckis might have already definitively put an end to any Back to the Future reboots, by telling Italian website Bad Taste that “there will never ever be, in the most absolute way, a Back to the Future 4. There will be no more Back to the Future.” But that doesn’t matter, Hollywood gets what Hollywood wants. Soon, I guarantee it, there will be an all-female reboot where Martine McFly travels 30 years into the past specifically to sneer at all the beloved cultural artefacts that the world’s current population of 40-year-olds have chosen to define their personalities with. Then there’ll be a belaboured “Still no hoverboards?” crack and some Libyans will die and that’ll be another happy childhood moment stomped into the dust.

To give this survey credit, at least those polled picked a film that has actually been around long enough to warrant a reboot. Some of the other results, such as The Hunger Games, have only been in the ground for a handful of years. But there is every reason to doubt a survey with such a small sample size; 53% of responders said that they would like to see more Avatar films, which leads one to believe that the poll was somehow sent out to every single person on Earth who actually wants to see more Avatar films.

Although I’m being facetious, the full Hollywood Reporter survey is bracingly thorough, especially when it comes to James Bond. Those polled gave their opinion on every 007 film – the most loved was Goldfinger, the most disliked was Moonraker – and who should play the character next. Altogether, 29% strongly approved of a black James Bond, 20% strongly liked the idea of a female Bond, 19% were in favour of a hispanic 007, 17% approved of an Asian Bond and 15% strongly approved of a gay James Bond. But then the poll also said that Pierce Brosnan was a better Bond than Daniel Craig, George Lazenby was the worst, and 32% of people strongly supported the heinous notion of an American James Bond, so up is down and down is up and nobody knows anything."
7,Blade_Runner_1.docx,"When ""Blade Runner"" premiered in 1982, Harrison Ford disparagingly quipped, ""It's a film about whether you can have a meaningful relationship with your toaster."" It is, in fact, an amazingly sophisticated, sumptuously visionary treatise on the consequences of attaining god-hood. The toaster, in this case, was actually a genetically engineered ""replicant"" -- vulgarly known as a skin job -- played by a radiant Sean Young. And as Ford found out, the answer is, yes, as long as you know how to turn that appliance on.

The eyeball-popping thriller was ""Alien"" director Ridley Scott's first American film, a box-office disappointment lost on audiences appalled by the British visualist's glowering, smoggy portrait of the future. Critics, many of them anyhow, reviled it for the drone of Ford's voice-over narration and the upbeat Hollywood ending, but the film persevered. Now Scott has recut the movie, and it's back on the big screen. The screenplay by Hampton Fancher and David Peoples strays far from its inspiration: Philip K. Dick's ""Do Androids Dream of Electric Sheep?,"" the tale of a genetic designer, Sebastian (William J. Anderson). Sebastian plays a pivotal role here too, but the focus is on Rick Deckard, a retired detective who specializes in tracking down and destroying replicants who attempt to pass for human. Stronger and more specialized than real people, the replicants are sent off-world as slave laborers, soldiers and prostitutes.

Deckard, the best blade runner ever, is pressed into duty by his former boss (M. Emmet Walsh) when four replicants take over a space shuttle and return to Earth. They have come back, as their leader Roy Blatty (Rutger Hauer) explains, to meet their maker, Tyrell (Joe Turkel). To keep them from supplanting the men who made them, replicants have a built-in fail-safe -- a four-year lifespan -- and they've decided to discuss it with their man upstairs. ""What seems to be the problem?"" asks Tyrell. ""Death,"" responds Roy, ever the wry, cerebral psychotic.

Grand enough in scale to carry its many Biblical and mythological references, ""Blade Runner"" never feels heavy or pretentious -- only more and more engrossing with each viewing. It helps, too, that it works as pure entertainment. In its soul, it's a detective story complete with a glossy dame and a Chandler-style gumshoe suffering from a case of hard-boiled heartburn. Like Bogey before him, Deckard must shake off the troubles he's seen, the numbing shell, to get back in touch with his feelings. He becomes human again thanks primarily to the replicants who are driven by love for one another to develop empathy.

Scott has enhanced the love relationships somewhat, adding and lengthening scenes between Rachel (Young) and Deckard and between the pleasure model Priss (Daryl Hannah) and her lover Roy. Hannah and Joanna Cassidy, the snake dancing replicant, aren't quite as resilient as Lt. Ripley in ""Alien,"" but we see their moxie reiterated in the heroines of Scott's 1991 road movie, ""Thelma & Louise,"" the 1989 thriller ""Someone to Watch Over Me"" and the saucy hussies in his Chanel perfume advertisements.

Every viewing of ""Blade Runner"" brings new discoveries -- a half-midget, half-mechanical toy's decidedly sexual response to Priss's appearance in Sebastian's living-doll-filled apartment -- and revitalizes treasured visual memories -- the way Rachel's copper irises give away her kinship to Tyrell's synthetic owl. Of course, those who've seen it only on video really haven't seen it at all. Just the shadow.

""Blade Runner"" is rated R for nudity, violence and profanity."
8,Star_Wars_2.docx,"Document2

Eight films, 20 hours and hundreds of nostalgic moments have lead up to Star Wars: The Rise of Skywalker, and the final film in the franchise has the impossible task of wrapping up a fleet of story lines in a mere few hours. It’s almost too much for a single film to juggle, and not even the Force can pull it off.

Which is a shame because America needs Star Wars now more than ever. When George Lucas made A New Hope in 1977, it was in response to the country’s tumultuous times. It was nice for audiences to see the good guys win after we lost the Vietnam War, and it was a chance to escape to a galaxy far, far away for a nation dealing with uncertainty in the wake of Watergate. Now, there are headlines about scandals, shootings or acts of terrorism every day. We all sort of feel like we need rescuing, don’t we?

In the Star-verse, Rey (Daisy Ridley) represents the universal hero. She’s the last Jedi and the last hope for the Resistance. Now a Moses-like figure armed with a literal staff, Rey has made it her life’s mission to part the Red Sea that is the Sith. That means dueling Kylo Ren (Adam Driver), the Supreme Leader of the bad guys. It also means going up against the hooded Emperor Palpatine, who has been in hiding for decades.

Director J.J. Abrams keeps things moving at light speed. From one swashbuckling adventure to the next, Rey and her friends zip from planet to planet looking for clues of Palpatine’s existence. Poe Dameron, the vivacious pilot played by Oscar Isaac, is flying everyone around in the Millennium Falcon. Along for the ride: Finn, the stormtrooper turned good guy (John Boyega), the iconic warm-spirited grizzly beast Chewbacca (voiced by Joonas Suatamo), the biting and beloved C-3P0 (Anthony Daniels) and BB-8, the cute robot who rolls around aimlessly.

Together, they stand against the dark side that threatens to wipe out all that is good in the galaxy. That’s pretty much the premise of every Star Wars movie, but the stakes here are more consequential, and the picture’s scope is monumental. You don’t have to be a fan of the series to enjoy the lightsaber duels and dog fights in space, either. One spectacular scene sees Rey and Ren trading lightsaber blows on a windswept coast, as the backwash of towering waves shower over their intense faces. Another scene memorable for its galactic scale comes toward the end of the run time- a thousand Resistance space ships go to war against even more Star Destroyers in a winner-take-all battle for the ages.

While The Rise of Skywalker has no shortage of spectacular set pieces, it’s still missing the magic that made A New Hope, The Empire Strikes Back, and Return of the Jedi landmarks of pop culture. Lucas’ original trilogy brought out the child in all of us. Everywhere audiences looked there was something new to see, and"
9,Irishman_2.docx,"What interests Martin Scorsese aren’t facts but feelings. Like many of his other films, “The Irishman” spends some time mapping the structures of power and the codes of behavior that govern its particular slice of reality. Frank Sheeran, making his living as a truck driver in Pennsylvania after serving in World War II, becomes a soldier in the Philadelphia mob, working mostly for a local capo named Russell Bufalino (Joe Pesci). Russell, whose cousin (Ray Romano) is a mob lawyer, connects Frank with Hoffa. Through flush times and lean, the two bosses command Frank’s loyalty for the next 20 years or so.



The business of graft, extortion and influence peddling occupies all these men, but “The Irishman” finds its emotional center in the vicissitudes of their friendship. This is Scorsese’s least sentimental picture of mob life, and for that reason his most poignant. Hoffa, for all his windy belligerence, is also petty to the point of neurosis.



I don’t mean that Pacino and Scorsese make Hoffa lovable, but rather that they render him at human scale. Russell and Frank, big shots in their own right, are small men too. In addition to checking in periodically on Frank in his lonely senescence, the movie repeatedly jumps back to a fateful road trip he and Russell took with their wives, a journey as intoxicated with the banality of midcentury, middle-class married life as a John Updike story. And it’s in those quiet moments that the elegiac power of “The Irishman” really takes hold.



There is something beautiful and fitting about that incongruity, and also about the presence of so many actors we’ve seen in other Scorsese films. Harvey Keitel shows up, as does Welker White, who was Henry Hill’s babysitter in “Goodfellas” and is Jo Hoffa, Jimmy’s wife, here. Pesci, who has been mostly absent from movies for the past 20 years, is the revelation. He’s lost the strut and the shtick that used to define his performances, and does everything with his sad, watchful eyes and his lovely, walnut-shell face. When he and De Niro are onscreen together, you believe in the power of art.



But “The Irishman” isn’t sentimental about that, either. It’s a gift for cinephiles but also a somber acknowledgment of limitations. Alongside the story of Frank’s career runs another one, about the price paid by the women in his life, in particular his daughter Peggy. Peggy is fond of Hoffa and creeped out by Russell. Though she barely says a word, her silence delivers a damning verdict on her father and his world. It also represents a gesture on Scorsese’s part toward some of the stories he hasn’t chosen or known how to tell over the years. That’s another kind of loss.



To watch this movie is to feel a circle closing. This isn’t the last film Scorsese will make, or the last film anyone will make about the Mafia in its heyday, but it does arrive at a kind of resting place. Not an easy one, by any means, since what “The Irishman” looks back on is a legacy of violence and waste, of men too hard and mean to be mourned. A monument is a complicated thing. This one is big and solid — and also surprisingly, surpassingly delicate."
